location_name,date,deaths,lower,upper,model_date,model
Togo,2020-03-11,0,0,0,2020-08-09,lanl
Tunisia,2020-03-11,0,0,0,2020-08-09,lanl
Turkey,2020-03-11,0,0,0,2020-08-09,lanl
Ukraine,2020-03-11,0,0,0,2020-08-09,lanl
United Arab Emirates,2020-03-11,0,0,0,2020-08-09,lanl
United Kingdom,2020-03-11,7,7,7,2020-08-09,lanl
Uruguay,2020-03-11,0,0,0,2020-08-09,lanl
US,2020-03-11,33,33,33,2020-08-09,lanl
Uzbekistan,2020-03-11,0,0,0,2020-08-09,lanl
Venezuela,2020-03-11,0,0,0,2020-08-09,lanl
West Bank and Gaza,2020-03-11,0,0,0,2020-08-09,lanl
Yemen,2020-03-11,0,0,0,2020-08-09,lanl
Zambia,2020-03-11,0,0,0,2020-08-09,lanl
Zimbabwe,2020-03-11,0,0,0,2020-08-09,lanl
Afghanistan,2020-03-12,0,0,0,2020-08-09,lanl
Albania,2020-03-12,1,1,1,2020-08-09,lanl
Algeria,2020-03-12,1,1,1,2020-08-09,lanl
Andorra,2020-03-12,0,0,0,2020-08-09,lanl
Angola,2020-03-12,0,0,0,2020-08-09,lanl
Argentina,2020-03-12,1,1,1,2020-08-09,lanl
Armenia,2020-03-12,0,0,0,2020-08-09,lanl
Australia,2020-03-12,3,3,3,2020-08-09,lanl
Austria,2020-03-12,1,1,1,2020-08-09,lanl
Azerbaijan,2020-03-12,0,0,0,2020-08-09,lanl
Bahrain,2020-03-12,0,0,0,2020-08-09,lanl
Bangladesh,2020-03-12,0,0,0,2020-08-09,lanl
Belarus,2020-03-12,0,0,0,2020-08-09,lanl
Belgium,2020-03-12,3,3,3,2020-08-09,lanl
Benin,2020-03-12,0,0,0,2020-08-09,lanl
Bolivia,2020-03-12,0,0,0,2020-08-09,lanl
Bosnia and Herzegovina,2020-03-12,0,0,0,2020-08-09,lanl
Brazil,2020-03-12,0,0,0,2020-08-09,lanl
Bulgaria,2020-03-12,1,1,1,2020-08-09,lanl
Burkina Faso,2020-03-12,0,0,0,2020-08-09,lanl
Cabo Verde,2020-03-12,0,0,0,2020-08-09,lanl
Cameroon,2020-03-12,0,0,0,2020-08-09,lanl
Canada,2020-03-12,1,1,1,2020-08-09,lanl
Central African Republic,2020-03-12,0,0,0,2020-08-09,lanl
Chad,2020-03-12,0,0,0,2020-08-09,lanl
Chile,2020-03-12,0,0,0,2020-08-09,lanl
China,2020-03-12,3172,3172,3172,2020-08-09,lanl
Colombia,2020-03-12,0,0,0,2020-08-09,lanl
Republic of Congo,2020-03-12,0,0,0,2020-08-09,lanl
Costa Rica,2020-03-12,0,0,0,2020-08-09,lanl
Cote d'Ivoire,2020-03-12,0,0,0,2020-08-09,lanl
Croatia,2020-03-12,0,0,0,2020-08-09,lanl
Cuba,2020-03-12,0,0,0,2020-08-09,lanl
Czechia,2020-03-12,0,0,0,2020-08-09,lanl
Democratic Republic of the Congo,2020-03-12,0,0,0,2020-08-09,lanl
Denmark,2020-03-12,0,0,0,2020-08-09,lanl
Djibouti,2020-03-12,0,0,0,2020-08-09,lanl
Dominican Republic,2020-03-12,0,0,0,2020-08-09,lanl
Ecuador,2020-03-12,0,0,0,2020-08-09,lanl
Egypt,2020-03-12,1,1,1,2020-08-09,lanl
El Salvador,2020-03-12,0,0,0,2020-08-09,lanl
